84837,11337,1,0,540,540,138.693,857,567,540,540,450
84838,11337,2,8950,537,538,137.344,857,567,540,540,450
84839,11337,3,16134,529,531,133.08,857,567,540,540,450
84840,11337,4,17789,527,540,132.528,857,567,540,540,450
84841,11337,5,19333,535,537,136.318,857,567,540,540,450
84842,11337,6,20485,542,532,139.492,857,567,540,540,450
84843,11337,7,21461,548,527,142.125,857,567,540,540,450
84844,11337,8,22357,555,524,145.337,857,567,540,540,450
84845,11338,1,0,540,540,216.15,335,328,540,540,450
84846,11338,2,18408,560,536,208.122,335,328,540,540,450
84847,11338,3,25903,558,556,199.223,335,328,540,540,450
84848,11338,4,28455,558,536,208.971,335,328,540,540,450
84849,11338,5,30159,538,534,220.077,335,328,540,540,450
84850,11338,6,31248,518,532,230.924,335,328,540,540,450
84851,11338,7,33000,498,533,239.183,335,328,540,540,450
84852,11338,8,34960,478,535,246.545,335,328,540,540,450
84853,11338,9,36423,459,538,252.741,335,328,540,540,450
84854,11339,1,0,540,540,694.219,413,672,540,540,450
84855,11339,2,2960,541,520,668.7,413,672,540,540,450
84856,11339,3,4192,541,500,642.571,413,672,540,540,450
84857,11339,4,5648,525,488,641.083,413,672,540,540,450
84858,11339,5,7152,543,480,613.63,413,672,540,540,450
84859,11339,6,8608,554,497,625.904,413,672,540,540,450
84860,11339,7,9688,553,517,652.366,413,672,540,540,450
84861,11339,8,10640,551,537,678.486,413,672,540,540,450
84862,11339,9,11304,551,557,700.862,413,672,540,540,450
84863,11339,10,11960,551,577,720.674,413,672,540,540,450
84864,11340,1,0,540,540,337.219,564,838,540,540,450
84865,11340,2,1737,541,560,359.594,564,838,540,540,450
84866,11340,3,2832,541,580,381.944,564,838,540,540,450
84867,11340,4,3576,541,600,404.237,564,838,540,540,450
84868,11340,5,4560,541,620,426.491,564,838,540,540,450
84869,11340,6,6400,540,640,448.669,564,838,540,540,450
84870,11340,7,8488,535,659,469.47,564,838,540,540,450
84871,11340,8,9680,527,678,487.839,564,838,540,540,450
84872,11340,9,10937,516,695,502.79,564,838,540,540,450
84873,11341,1,0,540,540,544.713,525,771,540,540,450
84874,11341,2,2888,520,540,545.879,525,771,540,540,450
84875,11341,3,5152,500,541,544.487,525,771,540,540,450
84876,11341,4,6735,520,540,545.216,525,771,540,540,450
84877,11342,1,0,540,540,249.472,873,534,540,540,450
84878,11342,2,1416,539,560,247.845,873,534,540,540,450
84879,11342,3,3880,526,545,236.294,873,534,540,540,450
84880,11342,4,5424,546,543,254.931,873,534,540,540,450
84881,11342,5,6264,566,541,273.569,873,534,540,540,450
84882,11343,1,0,540,540,517.552,760,721,540,540,450
84883,11343,2,9072,541,560,538.364,760,721,540,540,450
84884,11343,3,11248,522,553,506.685,760,721,540,540,450
84885,11343,4,12631,529,535,498.488,760,721,540,540,450
84886,11343,5,13719,549,536,525.173,760,721,540,540,450
84887,11344,1,0,540,540,78.0105,508,129,540,540,450
84888,11344,2,984,540,560,69.7272,508,129,540,540,450
84889,11344,3,2112,539,540,78.0362,508,129,540,540,450
84890,11344,4,2704,538,520,86.3444,508,129,540,540,450
84891,11344,5,4744,530,501,94.254,508,129,540,540,450
84892,11344,6,6440,514,490,99.2941,508,129,540,540,450
84893,11344,7,7760,494,487,100.62,508,129,540,540,450
84894,11344,8,8584,474,486,100.445,508,129,540,540,450
84895,11344,9,9528,457,476,103.633,508,129,540,540,450
84896,11345,1,0,540,540,27.6035,564,944,540,540,450
